symbol,company_name,sector
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Information & Communication Technology
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,Transportation & Logistics
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,Property Development
BANPU,BANPU PUBLIC COMPANY LIMITED,Energy & Utilities
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,Banking
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,Health Care Services
BEM,BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED,Transportation & Logistics
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,Commerce
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Transportation & Logistics
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,Food & Beverage
CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",Electronic Components
CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,Tourism & Leisure
COM7,COM7 PUBLIC COMPANY LIMITED,Commerce
CPALL,CP ALL PUBLIC COMPANY LIMITED,Commerce
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,Food & Beverage
CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,Property Development
CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,Commerce
DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,Electronic Components
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,Energy & Utilities
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,Energy & Utilities
GULF,GULF DEVELOPMENT PUBLIC COMPANY LIMITED,Energy & Utilities
HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,Commerce
IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,Banking
KKP,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED,Banking
KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,Banking
KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,Finance & Securities
LH,LAND AND HOUSES PUBLIC COMPANY LIMITED,Property Development
MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,Tourism & Leisure
MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,Finance & Securities
OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,Energy & Utilities
OSP,OSOTSPA PUBLIC COMPANY LIMITED,Food & Beverage
PTT,PTT PUBLIC COMPANY LIMITED,Energy & Utilities
PTTEP,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED,Energy & Utilities
PTTGC,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
RATCH,RATCH GROUP PUBLIC COMPANY LIMITED,Energy & Utilities
SAWAD,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED,Finance & Securities
SCB,SCB X PUBLIC COMPANY LIMITED,Banking
SCC,THE SIAM CEMENT PUBLIC COMPANY LIMITED,Construction Materials
SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED,Packaging
TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED,Banking
TIDLOR,TIDLOR HOLDINGS PUBLIC COMPANY LIMITED,Finance & Securities
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,Banking
TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,Insurance
TOP,THAI OIL PUBLIC COMPANY LIMITED,Energy & Utilities
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,Banking
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,Food & Beverage
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,Property Development
