symbol,rank,shareholder_name,shares,percent_share
ADVANC,1,บริษัท  กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),1202712000,40.44
ADVANC,2,SINGTEL STRATEGIC INVESTMENTS PTE LTD.,568000000,19.1
ADVANC,3,Thai NVDR Company Limited,226881375,7.63
ADVANC,4,RAFFLE NOMINEES (PTE) LTD S/A SINGTEL STRATEGIC INVESTMENTS PTE LTD.,168492744,5.67
ADVANC,5,กองทุนรวม  วายุภักษ์หนึ่ง,88383700,2.97
AOT,1,กระทรวงการคลัง,10000000000,70.0
AOT,2,Thai NVDR Company Limited,468872380,3.28
AOT,3,กองทุนรวม  วายุภักษ์หนึ่ง,345959000,2.42
AOT,4,SOCIAL SECURITY OFFICE,195775520,1.37
AOT,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,171637725,1.2
AWC,1,บริษัท  ทีซีซี บริหารธุรกิจ จำกัด,14400000000,44.96
AWC,2,"TCC RETAIL CO.,LTD",9600000000,29.98
AWC,3,NOMURA SINGAPORE LIMITED-CUSTOMER SEGREGATED ACCOUNT,1430000000,4.47
AWC,4,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,691391201,2.16
AWC,5,กองทุนรวม  วายุภักษ์หนึ่ง,612369400,1.91
BANPU,1,บริษัท  น้ำตาลมิตรผล จำกัด,827908786,8.26
BANPU,2,Thai NVDR Company Limited,799858493,7.98
BANPU,3,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,293437069,2.93
BANPU,4,นาย ประทีป ตั้งมติธรรม,198423798,1.98
BANPU,5,บริษัท  ทุนมิตรสยาม จำกัด,172906811,1.73
BBL,1,Thai NVDR Company Limited,446289133,23.38
BBL,2,บริษัท  ซิตี้เรียลตี้ จำกัด,89645900,4.7
BBL,3,SOCIAL SECURITY OFFICE,76353394,4.0
BBL,4,STATE STREET EUROPE LIMITED,52133499,2.73
BBL,5,STATE STREET BANK AND TRUST COMPANY,47874374,2.51
BDMS,1,Thai NVDR Company Limited,1540861735,9.7
BDMS,2,MR. Prasert Prasarttong-osoth,1458941440,9.18
BDMS,3,น.ส. ปรมาภรณ์ ปราสาททองโอสถ,939537410,5.91
BDMS,4,The Viriyah Insurance Public Company limited,678201330,4.27
BDMS,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,601019734,3.78
BEM,1,บริษัท  ช.การช่าง จำกัด (มหาชน),6459449984,42.26
BEM,2,MASS RAPID TRANSIT AUTHORITY OF THAILAND,1256259584,8.22
BEM,3,ธนาคาร  กรุงไทย จำกัด (มหาชน),815356075,5.33
BEM,4,Thai NVDR Company Limited,483077555,3.16
BEM,5,SOCIAL SECURITY OFFICE,465669067,3.05
BH,1,Thai NVDR Company Limited,84492505,10.63
